                                                                                                                                         Tweet,Sentimen
 Pengumuman Cina tentang pendirian wilayah administrasi baru di kawasan #LautCinaSelatan (LCS) menuai protes keras dari Viruscorona,Negatif
"Utk penanganan #Corona, pemerintah @jokowi sdh anggarkan bidang kesehatan melalui APBN. Apa saja anggaran nya? ",Negatif
"Gak cuma janji palsu yang bisa memupus harapan, ternyata #corona juga bisa ",Negatif
"H-1 Udh Puasa , Jadi Keinget Keselek Biji Kolak Pas Siang2 #Ramadhan #pulangkampung #Corona",Negatif
Menanyakan Mafia Alkes #Vox #Mafia #Alkes #coronavirus #Corona #CoronaVirusUpdate #COVID19 #COVID,Negatif
#WHO: #Virus #Corona Akan Bersama Kita untuk Waktu yang Lama,Negatif
Baru! Peneliti #China Beberkan 30 #Mutasi Baru #Virus #Corona,Negatif
Lockdown diperpanjang!?? Pada masa masa lockdown atau psychal distance ini apa sih yang kalian lakuin?,Negatif
Data dan Fkata Menarik Camp Nou yang Namanya Dijual Demi Penanganan Covid-19,Negatif
Pandemi Corona Covid-19 Bikin Nilai Jual Mbappe Merosot Tajam,Negatif
"nanti kita mati bukan gara2 #corona Tapi #kelaparan,",Negatif
"Ada 4 target yang harus dipenuhi setelah PSBB diterapkan di Surabaya, Sidoarjo, dan Gresik.",Negatif
"Kades di Lamongan, Angely Emitasari jadi perhatian karena menyambi sebagai biduan #Covid_19 #COVID #COVID19",Negatif
"Satu Virus Mengguncang Dunia #corona #viruscorona #coronavirus #covid19 #satuvirusmengguncangdunia @ Semarang,",Negatif
Presiden Joko Widodo akhirnya melarang warga untuk mudik pada Lebaran tahun ini.,Negatif
Ada banyak pekerja yang terdampak pandemi virus corona kesulitan mendaftar kartu prakerja.,Negatif
"Sebanyak 36 tenaga medis di Kabupaten Kudus, Jawa Tengah terindikasi positif Covid-19.",Negatif
Kata transmisi lokal sering dipakai dalam berita. Lalu apa itu transmisi lokal?,Negatif
"Puasanya jadi, lebarannya bisa jadi.",Negatif
"#corona udah apa udah mainnya, balik keasal sono!",Negatif
Corona bangsit! #CoronaBangsat #Corona #coronavirus #COVID,Negatif
"Utk penanganan #Corona, pemerintah @jokowi sdh anggarkan bidang kesehatan melalui APBN. Apa saja anggaran nya?",Negatif
#Corona pada ada duit nggak ? hehe ,Negatif
" @jokowi Ojol tidak pernah takut mati karena Corona, tapi mereka takut anak istrinya mati kelaparan! Kalau memang banyak",Negatif
Demo omnibuslaw ditengah pandemi covid-19 dapat mempercepat penyebaran virus korona #korona #corona #COVID19 ,Negatif
Ngga bisa klo stuck gini terus :(,Negatif
" Kamu, aku, dia (KITA) berpotensi membawa dan menularkan virus #corona",Negatif
"Buka fesbuk korona, Buka instajram korona, Buka yutup korona, Buka dompet KOSONGNA!!!!",Negatif
 @pln_123 @TirtaPatriot @ridwankamil @jokowi @fadjroeL Anda pekerja terdampak #Corona dan tinggal di Jabodetabek,Negatif
"Kalo mudik, bisa menyebarkan #viruscorona .",Negatif
 pulang kampung itu emang beda.,Negatif
"Dampak Corona, Sarjani Saran Petani Pidie Tak Jual Seluruh Padi",Negatif
Dilarang mudik gess #corona #Indonesia #dirumahaja,Negatif
Bersama cegah penyebaran covid-19 #Indonesia #corona #mudik,Positif
"Tadinya mau makan tapi nasinya panas banget, jangan2 kena #corona",Negatif
Lebih baik locdown total selama 14 hari dari pada psbb yang di perpanjang.. buang buang anggaran,Negatif
"Akibat covid, pelakor hilang dan bang toyib akirnya pulang.",Negatif
"eh, corona lo gak capek ya ngerjain.    kita mulu kayk gak ada kerjaan aja ",Negatif
RT @BudayaKito: Belenggu duka di balik corona,Negatif
"Saya masih saja penasaran. Banyak orang bilang """"semoga lekas sembuh bumi!"""", Padahal sebenernya yg sakit kan manusia",Negatif
"yang sedang terjadi adalah,BANSOS PEMERINTAH tidak semua kebagian,kita yang cuma seniman",Negatif
"Biar gak bosen di rumah, kami persembahkan """"TRIO LOCKDOWN"""" ",Negatif
"Bersikaplah seperti hari ini terakhir dan esok tak ada hari lagi,"""" berarti uang jajan sebulan boleh dong dihabisin",Negatif
Untuk menghindari CORONIA mari LIVE seks bareng ratu #coronia #corona ,Negatif
"Lawan Corona, Meutya Hafid Sumbang 20 Ton Beras",Negatif
Baca ini deh buat mengetahui seberapa galak netizen sana ahaha #GwynethPaltrow #Corona ,Negatif
Orderan sepi #corona,Negatif
"Koruptor, banyak yg kelaparan tuh karena perbuatan kalian... kembalikan yg sdh dijarah,  untuk makan yg kelaparan",Negatif
Harga Minyak Rebound Melonjak 20% ,Negatif
Kalau anda bingung dgn pernyataan Ketentuan Mudik yg sgt tegas ini berarti anda bukan warga negara kami,Negatif
gini amat dah idup gw. #corona,Negatif
Kalian tahu apa yg lebih ngeri daripada kkn di desa penari? Kkn pas masa pandemi corona lah yang lebih ngeri.. ,Negatif
Tetap lah hidup Sekali lagi.. Meski gak berguna,Negatif
Di tonton film corona part1 ,Negatif
kurang lebih ini respon temen temen yang tak dapetin jika mereka mencoba ngubah pandangan tentang #corona,Negatif
Banyak yang bilang bahwa pandemi corona ini merupakan Perang Dunia ke-3,Negatif
"Kamu, aku, dia (KITA) berpotensi membawa dan menularkan virus #corona",Negatif
"Selain pria asal Padang Pariaman itu, dua orang perempuan di Pesisir Selatan juga dinyatakan terinfeksi virus corona.  #Corona",Negatif
kamu menemukan berita hoax? yuk bantu kami memberantasnya!,Negatif
Petugas pemakaman adalah profesi yang juga beresiko terpapar virus di tengah semakin mewabahnya virus,Negatif
Minyak Mencapai Level Terendah Abad Ini Karena Krisis #Virus #Corona Menekan Permintaan,Negatif
"Larangan Mudik Lebaran 2020, KAI Batalkan Seluruh Perjalanan KA Jarak Jauh Dari dan Menuju Jakarta dan Bandung",Negatif
Beginilah kondisi Ibu Kota DKI Jakarta di hari ke-13 Pembatasan Sosial Berskala Besar (PSBB).,Negatif
"Kalo mudik, bisa menyebarkan #viruscorona .",Negatif
Demo omnibuslaw ditengah pandemi covid-19 dapat mempercepat penyebaran virus korona #korona #corona #COVID19 h,Negatif
"My president said """"itu bukan mudik, itu Pulang kampung""",Negatif
Bursa Eropa Rebound Mengatasi Kekhawatiran Coronavirus dan Harga Minyak ,Negatif
"Pengen lebih produktif, tapi lagi corona. Ywdh rebahan lagi.",Negatif
"Umpomo Kowe gelem dadi yang ku, Mungkin Corona wes minggat",Negatif
"Tanpa Gejala, Kisah Wiranto Positif Virus Corona sampai Diisolasi di Gubuk",Negatif
"Wihh lulus jalur corona, padahal gak sekolah",Negatif
"Ini Dia 7 Hal Unik Khas Ramadan yang Bikin Kita Rindu Berat, Enggak Boleh karena Corona #KangenBangetGakSih",Negatif
 Tak adanya jaminan dari negara atas kebutuhan rakyat membuat rakyat semakin terpuruk dalam kesengsaraan. ,Negatif
" DPR sah kan UU Corona, Amien Rais Kecewa karena Gugatan perppu corona ke MK otomatis gugur",Negatif
" Perang Panas Khofifah Vs Risma Imbas Corona Klaster PT Sampoerna, Tuding Walikota Surabaya Lelet",Negatif
"Corona dijauhin, dosa dideketin. Entahlah",Negatif
" Kasus Corona DKI Naik, Pakar UI: Jangan Cepat Senang, Apalagi Longgarkan PSBB",Negatif
"katanya corona yang mau selesai, tapi ko malah hubungan kita si yang selesai",Negatif
" Prediksi Akhir Wabah Corona Mundur, Indonesia Jadi 23 September",Negatif
Stop Sebar Hoax Corona! Sebar Hoax Bisa Kena UU ITE! #LawanHoaxBeritaCorona #2020berkata,Negatif
"Cukup sudah menyebarkan Hoax Corona, karena dapat merugikan banyak pihak dan pelakunya akan ditindak tegas",Negatif
"Pandemi Covid-19 berefek besar kepada semua pekerjaan, tak terkecuali Asisten Rumah Tangga.",Negatif
"Ajudan Wagub Sumut, menjadi kasus pertama terinfeksi virus Corona setelah sebelumnya dinyatakan sembuh. ",Negatif
Gatau apa lagi corona gini pemasukan seret,Negatif
 CORONA itu sebenarnya hanya wabah. Tp ditangan pemimpin yg lemah berubah jadi musibah.,Negatif
"Bosen main online, aing mau main sama temen2 mau nongkrong mau ngalong lagi lahh",Negatif
"Corona Mewabah, Petani di Blitar Bingung ke Mana Harus Jual Cabai ",Negatif
 Kalo dpt soalnya perekonomian semua org lagi seret grgr corona ,Negatif
Waduh! Airbnb mengeluarkan kebijakan pemutusan hubungan kerja (PHK) terhadap 25% dari total karyawan atau hampir 1.900 karyawan,Negatif
Seriously pak. Bapak udah pernah kena corona kenapa ga sadar2 sih ???,Negatif
"Istri sedang hamil, suami berhenti bekerja karena corona",Negatif
 gak yakin . yg teriak2 itu kalau g ada corona pada taraweh dan tadarus ,Negatif
 Tidak masalah. UU Corona masih bs digugat kok.,Negatif
Sulawesi Selatan berdasarkan data Kementerian Kesehatan menempati posisi kelima provinsi dengan kasus virus corona terbanyak,Negatif
PKS Tolak Perppu Corona Jokowi Jadi UU: Langgar Konstitusi.,Negatif
" DPR Sahkan UU Corona, Amien Rais Wajar Kecewa: Gugatan Perppu Corona ke MK Otomatis Gugur.",Negatif
" Mending kerja lah nun, lah ini gegara corona makin sepi aja loker. Umur bentar lagi nambah",Negatif
Kak aku lg ngirit banget gara2 corona ngga ada pemasukan,Negatif
"Minum Sperma Untuk Cegah Corona, Wanita Ini Ditentang Dokter.",Negatif
iya bener banget aaa pgn corona cpt beres sumpek dirmh trs,Negatif
 Sinyal internet yang buruk membuat siswa di Gunungkidul harus naik ke bukit untuk kerjakan tugas sekolah.,Negatif
Media Sosial jadi instrumen penting dalam memberantas Hoax Corona.  #LawanHoaxBeritaCorona,Negatif
"Hehehe baru saja digugat, eh sdh disahkan DPR jadi Undang-undang. Jadinya gugatan pak Amien dkk otomatis gugur.",Negatif
"katanya corona yang mau selesai, tapi ko malah hubungan kita si yang selesai",Negatif
"Aku kamu saling merindukan, tapi terhalang karena pandemi corona. ",Negatif
"zoom, Bukalapak, Tokopedia, Gmail. Ini hacker lgi gabut pasti grgr pandemic corona.",Negatif
"Terjaring Jam Malam PSBB di Warung Kopi, 4 Orang Positif Corona",Negatif
"Corona ngene ki nek ra musim penyakit, musim maling, yo musim wong ngutang ",Negatif
" Gak ada duit aku tuh, Semenjak Corona pemasukan uang jajan gak ada",Negatif
Corona di indonesia tipenya suka ngeprank rapid tes dan pake sun block biar gk kepanasan,Negatif
Apapun kode dan namanya.. Semua virus corona berawal dari China.,Negatif
"Pas corona : ya allah rebahan mulu, gabut, capek",Negatif
lagi-lagi pejabat diutamakan kapan kelarnya corona kalo gini mulu pak @jokowi,Negatif
Belum selesai Corona mereka malah mau ribut,Negatif
"Corona ga ada niatan pulang apa , duit gua udh kecekek ni",Negatif
"Polri terus mencegah warga mudik di tengah wabah virus corona. Nyatanya, masih ada saja warga yang nekat mudik dengan santai",Negatif
"Corona di Agam mulai merambah Kecamatan Baso, Ampek Angkek hingga ke ibu kota kabapaten di Lubuk Basung.",Negatif
"Gara-gara corona masalah dtgnya ga jauh-jauh dari wifi, signal, kuota. tp klo call doang abis kuota banyak yah?",Negatif
Hoax Corona Timbulkan Skeptis dan Kebingungan di Lingkungan Masyarakat. #LawanHoaxBeritaCorona #2020berkata ,Negatif
" 2021 katanya, gatau jg klo diundur grgr corona",Negatif
"UU Corona bukan utk membuat pejabat kebal hukum, melainkan sbg dasar hukum agar bisa menggunakan anggaran demi kepentingan",Negatif
"Indonesia kynya udah nyerah psbb ya, udah siap the new normal ngikutin korea, sudah menerima hidup dg corona. ",Negatif
 Sinyal internet yang buruk membuat siswa di Gunungkidul harus naik ke bukit untuk kerjakan tugas sekolah. ,Negatif
"Gmn dgn berita ini, cukup nyebelin  ga buat elo, Ko? Tp klo mau bangga juga bebas.",Negatif
duhhh plin plan gini sih kapan mo kelar corona di indonesia ia ia gak gak klo bikin aturan,Negatif
"Virus Corona kalah di Taiwan dgn tanpa lockdown. Entah mereka percaya Konspirasi elit global atau engga, tapi satu negara",Negatif
" Corona dijauhin, dosa dideketin. Entahlah",Negatif
"Ya Rabb, musnahkan lah virus corona covid-19 jg covid",Negatif
Media Sosial jadi instrumen penting dalam memberantas Hoax Corona.  #LawanHoaxBeritaCorona #2020berkata,Negatif
"Apalagi setelah corona melanda bangsa dan negara kita, termasuk kami di Papua,  pendidikan  kami seperti diluluntakkan",Negatif
"Mas Bayu pulang kapan,Bukanya lagi corona gaboleh pulang?",Negatif
Brebes adalah daerah terakhir di Jawa Tengah yang ditemukan orang terinfeksi virus corona.,Negatif
"Waduh! Kepala BPS Suhariyanto mengatakan, angka pengangguran ini belum termasuk jumlah pengangguran yang terjadi selama pandemic",Negatif
Emang dagelan sekali negeri ku ini. ,Negatif
s gila banyak bgt harta karun di bulan mei. tapi kenapa pas ada corona bgst,Negatif
"Corona merusak otak juga, rupanya",Negatif
Tanggal 15 Mei besok kuliah online pun selesai dan mulailah dengan menjadi seperti pengangguran jalur Corona.,Negatif
UDH TAU LGI CORONA BKNNYA HEMAT MALAH BOROS,Negatif
"Level pejuang dan tukang bacot memang beda.. Pakai alasan PSBBlah, usia rentanlah.. Pak Luhut saja usianya yang jauh lebih tua",Negatif
"w bikin data nama yg positif corona jerink malah gagal bikin poinnya asu konspirasi,,,,,,,, corona nga brani sm jerinkk",Negatif
Corona cepet selesai poo pengen potong rambut. Ga betah beud rambut kalo dah lebih sebahu :(,Negatif
" Jangan hilangkan dia, hilangkan saja corona ",Negatif
"ini pocong ludah sembarangan, udh tau musim corona",Negatif
"Waduh! Ekonomi RI Cuma Tumbuh 2,97% di Kuartal I-2020 semenjak pandemic",Negatif
"Di tengah maraknya virus corona, banyak menimbulkan keresahan masyarakat",Negatif
"Mungkin  rekayasa Alloh dgn adanya virus Corona ini  akan membongkar tabir kepalsuan seseorang???,walloohu a,lam bimuroodihi.",Negatif
Hm dia punya nak bauk dkat dalam mall tu haih rasa serba salah  kang nanti org syak aku ada corona ,Negatif
Saya heran kenapa beberapa pihak mempermasalahkan UU Corona. Jelas-jelas itu untuk kemaslahatan banyak orang. ,Negatif
"Dijenguk kepala daerah emang epic, tapi pernah gak si lo jadi pasien corona malah wajib militer ",Negatif
Gerombolan Manusia2 Pendengki tak berkutik.,Negatif
"Gara-gara pandemi virus Corona yang begitu mematikan bagi sektor penerbangan, Qatar Airways telah menyiapkan rencana pemangkal",Negatif
Lah terus kenapa atuh yg harus diawasi cuma klaster Jmaah Tabligh Gowa ?,Negatif
"Di masa pandemi, jurnalis tak hanya bisa terinfeksi Corona. Ia juga terancam oleh pemidanaan seperti yang dialami Dianant",Negatif
CORONA BUKAN AIB,Negatif
" Bupati Karawang, Cellica dinyatakan positif virus corona. Sebelumnya ia menghadiri 7 acara. Di mana saja?",Negatif
Kesalahan Penanganan Virus Corona di Indonesia Telah Mengubah Wabah Menjadi Musibah,Negatif
padat skli. oto mau lewat sj susah. gara gara berita corona di sana lgsg sepi kapae,Negatif
Selama hampir 2 bulan ini gue okay dgn wfh dan segalam macam koordinasi via online tapi hari ini batas limit gue udah habis,Negatif
Virus corona bermutasi. Makin banyak yg terinfeksi makin banyak juga mutan nya. What a time to be alive,Negatif
sebelum di hukum mati harap di suntik virus corona agar paham betapa menyakitkannya virus itu. #AwasProvo,Negatif
Masih bandel tetap mudik?,Negatif
"Temuan Baru, Mutasi Virus Corona Kian Melemah",Negatif
demam? lu corona ya?,Negatif
"Kasus Corona DKI Naik, Pakar UI: Jangan Cepat Senang, Apalagi Longgarkan PSBB ",Negatif
Siapa tahu handan Survei Tarif hotel di musim corona nih,Negatif
bergaya religius  tapi arogan itulah pemilik kavling surga saat terjangkit covid 19,Negatif
"Pejabat negara termasuk anggota DPR akan diperbolehkan bepergian di tengah larangan mudik, asal karena tugas negara",Negatif
"Pantes kang amin rais kecewa, wong gugatannya tentang Perppu Corona ke Mahkamah Konstitusi (MK) pasti auto ditolak",Negatif
 Udeh corona itu bakal abadi di nih negara,Negatif
"Corona Mewabah, Petani di Blitar Bingung ke Mana Harus Jual Cabai.",Negatif
"Uang sudah tak punya, hutang dimana-mana",Negatif
"Corona hilang, aku piknik",Negatif
Bantu RT biar warga indonesia tahu. Serin2 ngontrol da tu tagihan blnnya. Kususnya yg ga punya duit kaya ane.,Negatif
"Waahhh Corona jadi kesempatan untuk reproduksi, momen juga pas musim hujan ",Negatif
"Corona cepatlah pergi, biar aku bisa cari kerja dilurkot",Negatif
 gamau dirumah terusss Bisa-bisa akk gila:(,Negatif
 minus pendapatan besar pengeluaran. Muatan sepi. Dangdutan yo prei. Corona merajalela. #sobatambyarbeduka ,Negatif
dulu saya kerap heran kenapa jarang sekali bermimpi. tapi sejak tinggal di rumah karena pandemi corona,Negatif
Stress karna lockdown Corona? Gak perlu Juwanto Surabaya,Negatif
sgd didieu aya nu putus gara gara ldr corona teu?,Negatif
Yang mengerikan dari perediksi Corona tetap ada hingga September adalah kelakuan manusia Indonesianya. Akan makin cuek.,Negatif
 Katanya Kagak Takut Ama Corona Tapi Kog Lu Pake Masker Bliiiih ,Negatif
Kira-kira album juga bakal telat gasi nyampe ke indo gara-gara corona?,Negatif
"Pantes kang amin rais kecewa, wong gugatannya tentang Perppu Corona ke Mahkamah Konstitusi (MK) pasti auto ditolak ",Negatif
"Dari 1,4 milyar penduduk sana ya paling 2 ribuan (yang terkena virus corona).",Negatif
Daya jual dan daya beli ikut surut selama pandemic Corona.,Negatif
iya ih ini rambut udah gondrong aja. padahal baru digunting jg pas sebelum heboh corona vibes ini.,Negatif
"Baru kali ini bosen sama rebahan, bosen main hp. Cepetan kelar dong corona bngst!",Negatif
"sebenernya yang aku pengen penjelasan pastinya bukan kapan kelarnya, tapi seberbahaya apa sih virus corona ini?",Negatif
"Pademik corona ini membuat semua pergerakan masyarakat jadi terbatas, biasanya kita selalu bebas.untuk pergi kana ",Negatif
Entah mereka percaya Konspirasi elit global atau engga,Negatif
Tidak realistis memaksakan perhelatan sekaliber pilkada untuk saat ini.Kita dukung pemerintah untuk bisa fokus,Negatif
"Denger yg meninggal krn corona nanti cuma """"oh biasa """,Negatif
corona nya nyebar kmna mana tuh,Negatif
" Gua malah mikir, klo sekolah terpaksa dibuka ketika pandemi berlangsung + vaksin belum ada  sama aja kayak memusna",Negatif
"Yang bikin hastag new normal pulihkan ekonomi, apa gak belajar dr omongan2 sebelumnya?",Negatif
Utk kesekian kalinya @aniesbaswedan menentang kebijakn pusat terkait penanggulangn corona utk mndapat panggung politik,Negatif
" Aku tersindir haha, gegara corona gw makin males buka whatasapp/line. Pas ada chat masuk mls bales sampe kelupa…",Negatif
Sejumlah pasar tradisional di Indonesia ditutup setelah beberapa orang di pasar-pasar tersebut dinyatakan positif virus corona,Negatif
"corona jancok aku gak iso muleh, tiket wes tak batalno",Negatif
"Corona gak kelar2, aku udh pengen melangkahkan kaki ke dp mall, cuma buat makan terus ngobrol ga jelas sama temen2",Negatif
 Yaudah tunggu corona selesai dulu world tour nya,Negatif
Siap perang lawan corona,Negatif
gakelar kelar ini corona deh grgr org fakultas lo yg tolol,Negatif
Bersama cegah penyebaran covid-19 #Indonesia #corona #mudik ,Negatif
"Tadinya mau makan tapi nasinya panas banget, jangan2 kena #corona",Negatif
Lebih baik locdown total selama 14 hari dari pada psbb yang di perpanjang.. buang buang anggaran,Negatif
"Hayo virus #Corona ki ora koyo laler sik iso ditamplek! Opo meneh aspal, sik tok kiro lembek",Negatif
"PSBB, MRT Jakarta Tambah Penutupan Dua Stasiun Lagi",Negatif
